"""Date"",""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"""Aug 31, 2017"",""174.71"",""175.45"",""176.24"",""173.86"",""6.94M"",""0.01%"""
"""Aug 30, 2017"",""174.69"",""169.50"",""174.85"",""169.37"",""8.03M"",""3.48%"""
"""Aug 29, 2017"",""168.81"",""165.00"",""169.68"",""164.73"",""4.62M"",""1.01%"""
"""Aug 28, 2017"",""167.12"",""166.43"",""168.67"",""165.60"",""3.66M"",""0.71%"""
"""Aug 25, 2017"",""165.95"",""168.58"",""168.75"",""165.50"",""4.06M"",""-1.30%"""
"""Aug 24, 2017"",""168.13"",""169.86"",""171.24"",""166.15"",""5.36M"",""-0.55%"""
"""Aug 23, 2017"",""169.06"",""168.35"",""169.64"",""166.70"",""4.63M"",""-0.17%"""
"""Aug 22, 2017"",""169.34"",""167.76"",""169.93"",""167.04"",""4.89M"",""1.55%"""
"""Aug 21, 2017"",""166.76"",""166.91"",""168.99"",""164.23"",""6.48M"",""0.13%"""
"""Aug 18, 2017"",""166.54"",""165.95"",""169.97"",""165.80"",""7.39M"",""0.27%"""
"""Aug 17, 2017"",""166.09"",""169.23"",""170.58"",""165.72"",""5.23M"",""-2.29%"""
"""Aug 16, 2017"",""169.98"",""167.50"",""170.50"",""166.25"",""7.01M"",""0.88%"""
"""Aug 15, 2017"",""168.50"",""171.53"",""171.88"",""168.25"",""5.66M"",""-1.46%"""
"""Aug 14, 2017"",""171.00"",""169.80"",""172.45"",""168.80"",""7.47M"",""-0.23%"""
"""Aug 11, 2017"",""171.40"",""169.86"",""172.58"",""169.00"",""5.02M"",""1.34%"""
"""Aug 10, 2017"",""169.14"",""174.03"",""174.45"",""167.60"",""9.69M"",""-3.78%"""
"""Aug 09, 2017"",""175.78"",""171.43"",""175.96"",""170.01"",""9.67M"",""-1.45%"""
"""Aug 08, 2017"",""178.36"",""181.37"",""181.91"",""177.45"",""6.10M"",""-1.64%"""
"""Aug 07, 2017"",""181.33"",""181.00"",""182.27"",""179.10"",""4.61M"",""0.59%"""
"""Aug 04, 2017"",""180.27"",""179.60"",""181.00"",""178.50"",""4.49M"",""0.58%"""
"""Aug 03, 2017"",""179.23"",""180.53"",""181.22"",""178.02"",""4.63M"",""-0.84%"""
"""Aug 02, 2017"",""180.74"",""182.22"",""182.57"",""177.81"",""5.77M"",""-0.71%"""
"""Aug 01, 2017"",""182.03"",""182.49"",""184.62"",""181.43"",""5.11M"",""0.20%"""
"""Jul 31, 2017"",""181.66"",""184.26"",""184.97"",""180.65"",""4.88M"",""-1.29%"""
"""Jul 28, 2017"",""184.04"",""182.00"",""185.03"",""181.18"",""6.20M"",""0.74%"""
"""Jul 27, 2017"",""182.68"",""189.89"",""190.00"",""179.38"",""11.22M"",""-3.38%"""
"""Jul 26, 2017"",""189.08"",""187.70"",""189.70"",""187.51"",""4.48M"",""1.13%"""
"""Jul 25, 2017"",""186.97"",""187.79"",""188.66"",""185.81"",""5.37M"",""-0.50%"""
"""Jul 24, 2017"",""187.91"",""188.69"",""190.25"",""187.01"",""8.80M"",""-0.33%"""
"""Jul 21, 2017"",""188.54"",""182.72"",""191.50"",""182.71"",""9.28M"",""2.69%"""
"""Jul 20, 2017"",""183.60"",""183.84"",""185.92"",""182.70"",""7.91M"",""-0.14%"""
"""Jul 19, 2017"",""183.86"",""182.97"",""187.17"",""181.75"",""17.34M"",""0.14%"""
"""Jul 18, 2017"",""183.60"",""176.12"",""185.00"",""174.24"",""41.59M"",""13.54%"""
"""Jul 17, 2017"",""161.70"",""162.91"",""163.55"",""160.02"",""17.50M"",""0.36%"""
