"""Date"",""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"""Mar 29, 2017"",""146.47"",""145.50"",""147.18"",""144.91"",""3.86M"",""0.90%"""
"""Mar 28, 2017"",""145.17"",""144.10"",""146.11"",""143.92"",""4.64M"",""0.77%"""
"""Mar 27, 2017"",""144.06"",""140.83"",""144.39"",""140.00"",""4.77M"",""1.44%"""
"""Mar 24, 2017"",""142.02"",""142.36"",""142.80"",""141.58"",""3.55M"",""0.13%"""
"""Mar 23, 2017"",""141.84"",""142.14"",""142.89"",""141.26"",""3.71M"",""-0.57%"""
"""Mar 22, 2017"",""142.65"",""142.54"",""143.80"",""140.76"",""6.49M"",""0.16%"""
"""Mar 21, 2017"",""142.42"",""146.75"",""147.70"",""142.10"",""7.67M"",""-2.34%"""
"""Mar 20, 2017"",""145.83"",""145.45"",""146.25"",""144.58"",""3.42M"",""0.50%"""
"""Mar 17, 2017"",""145.11"",""144.05"",""145.76"",""143.40"",""6.28M"",""0.50%"""
"""Mar 16, 2017"",""144.39"",""145.50"",""146.50"",""144.22"",""5.29M"",""-0.59%"""
"""Mar 15, 2017"",""145.25"",""144.20"",""145.52"",""143.23"",""5.99M"",""1.44%"""
"""Mar 14, 2017"",""143.19"",""142.95"",""143.31"",""141.70"",""4.66M"",""-0.23%"""
